level	unit	peer	shared	severity
classes	petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	4	0.5000
classes	petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	2	0.6000
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	4	0.5000
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	2	0.3333
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	2	0.3333
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	3	0.3333
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	petclinic-backend/src/main/java/victor/training/petclinic/repository/OwnerRepository.java	2	0.6000
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/OwnerRestController.java	2	0.3333
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyRestController.java	3	0.3333
classes	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/SpecialtyDto.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/SpecialtyFeed.java	2	0.3333
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	2	0.5000
classes	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	2	0.5000
packages	victor.training.petclinic.chatbot	victor.training.petclinic.mcp	6	0.5000
packages	victor.training.petclinic.chatbot	victor.training.petclinic.chatbot.assistant	2	0.3333
packages	victor.training.petclinic.chatbot.assistant	victor.training.petclinic.rest.error	2	0.6667
packages	victor.training.petclinic.chatbot.assistant	victor.training.petclinic.mcp	2	0.6000
packages	victor.training.petclinic.chatbot.assistant	victor.training.petclinic.chatbot.firefighter	2	0.5000
packages	victor.training.petclinic.chatbot.assistant	victor.training.petclinic.chatbot.triage	2	0.5000
packages	victor.training.petclinic.chatbot.assistant	victor.training.petclinic.chatbot	2	0.3333
packages	victor.training.petclinic.chatbot.firefighter	victor.training.petclinic.chatbot.assistant	2	0.5000
packages	victor.training.petclinic.chatbot.triage	victor.training.petclinic.chatbot.assistant	2	0.5000
packages	victor.training.petclinic.mcp	victor.training.petclinic.chatbot	6	0.5000
packages	victor.training.petclinic.mcp	victor.training.petclinic.chatbot.assistant	2	0.6000
packages	victor.training.petclinic.repository	victor.training.petclinic.rest	4	0.5000
packages	victor.training.petclinic.repository	victor.training.petclinic.rest.dto	2	0.6000
packages	victor.training.petclinic.rest	victor.training.petclinic.repository	4	0.5000
packages	victor.training.petclinic.rest	victor.training.petclinic.rest.dto	6	0.3333
packages	victor.training.petclinic.rest.dto	victor.training.petclinic.rest	6	0.3333
packages	victor.training.petclinic.rest.dto	victor.training.petclinic.repository	2	0.6000
packages	victor.training.petclinic.rest.error	victor.training.petclinic.chatbot.assistant	2	0.6667
modules	petclinic-backend	petclinic-chatbot	2	0.5000
modules	petclinic-chatbot	petclinic-backend	2	0.5000
