package	files	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
victor.training.petclinic.chatbot	1	1400	33	20	3	606.06	90.91	0.150	0	0.00	0	0	1
victor.training.petclinic	1	1060	30	3	0	100.00	0.00	0.000	0	0.00	0	0	1
victor.training.petclinic.repository	7	3828	146	7	0	47.95	0.00	0.000	0	0.00	16	8	1
victor.training.petclinic.security	4	4648	117	4	1	34.19	8.55	0.250	0	0.00	0	0	2
victor.training.petclinic.mcp	3	17328	370	11	0	29.73	0.00	0.000	26	70.27	1	7	1
ro.victorrentea.petclinic.db	2	6430	193	5	0	25.91	0.00	0.000	16	82.90	1	1	1
victor.training.petclinic.rest.dto	14	13147	433	10	0	23.09	0.00	0.000	0	0.00	37	8	1
victor.training.petclinic.chatbot.triage	2	5927	136	3	0	22.06	0.00	0.000	4	29.41	1	1	1
victor.training.petclinic.rest	12	37570	869	18	2	20.71	2.30	0.111	22	25.32	10	61	1
victor.training.petclinic.rest.error	3	9940	224	4	1	17.86	4.46	0.250	41	183.04	2	2	1
victor.training.petclinic.chatbot.assistant	9	41654	886	15	2	16.93	2.26	0.133	48	54.18	10	10	1
victor.training.petclinic.chatbot.diagram	1	5207	129	2	0	15.50	0.00	0.000	26	201.55	0	0	1
victor.training.petclinic.mapper	7	5022	169	2	0	11.83	0.00	0.000	0	0.00	14	26	1
victor.training.petclinic.rewrite	2	12889	287	2	0	6.97	0.00	0.000	24	83.62	1	1	1
victor.training.petclinic.chatbot.firefighter	12	31283	758	4	1	5.28	1.32	0.250	47	62.01	27	27	1
victor.training.petclinic.domain	9	9834	383	2	1	5.22	2.61	0.500	4	10.44	43	11	1
