source	target
petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/PetType.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/Role.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Role.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Specialty.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java
petclinic-backend/src/main/java/victor/training/petclinic/domain/Visit.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/OwnerFieldsDto.java
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	petclinic-backend/src/main/java/victor/training/petclinic/domain/Pet.java
